model,split,dt,horizon_seconds,runs,rmse_position,rmse_velocity,rmse_roll_pitch,rmse_roll_pitch_rates,rmse_legacy_10_state,rmse_yaw,rmse_yaw_rate,rmse_full_12_state,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_phi,rmse_theta,rmse_psi,rmse_p,rmse_q,rmse_r,worst_window_position_rmse,divergent_windows,windows
learning_full56_f050,validation,0.01,0.1,9,0.0005643757880852858,0.008752069746936491,0.004490533930538609,0.03135515915612787,0.01495785257325098,0.005209473191627878,0.036248809256958656,0.017268681477153883,0.0006458284007667654,0.0007225292679633887,0.0001281297164204867,0.009383153271834541,0.011892533497528255,0.0005659118775499216,0.004566186926490349,0.004413584361376328,0.005209473191627878,0.02759575865463057,0.03470974093374367,0.036248809256958656,0.0026973049688583683,0,540
learning_full56_f050,validation,0.01,0.5,9,0.007604003977314902,0.03774052021612842,0.016271279185192805,0.08113745228849113,0.04259411298336002,0.026067670145137688,0.10624902042626694,0.05009238330053231,0.008046768233730303,0.010376470173121132,0.0010203025041716782,0.039992410781979335,0.05138587677675595,0.005756678406987042,0.016005157179362406,0.016533118166543213,0.026067670145137688,0.07458310980302507,0.08720052786448175,0.10624902042626694,0.045793149841334625,0,540
learning_full56_f050,validation,0.01,1.0,9,0.029127786677535634,0.07802275224519604,0.021027036001800538,0.08929519794135327,0.0613510152407886,0.03413718105122391,0.12465927452895878,0.067295834793696,0.030850554788650068,0.03954554546216579,0.005447657618494884,0.0828333794659718,0.1054327106106612,0.01688858736782406,0.018570084924747668,0.023225512522432983,0.03413718105122391,0.08409155922887017,0.09421185921755465,0.12465927452895878,0.1636899091127943,0,540
learning_full56_f050,validation,0.01,2.0,9,0.1143029398718633,0.14841035619825352,0.023361581454257083,0.09135667683649766,0.11093060869391919,0.038413700167637656,0.13735586329176414,0.1093153866088199,0.12419482125827291,0.15181446842343702,0.026897950479307146,0.16489610903252996,0.19355067500950207,0.03774004385232696,0.018914388126362727,0.0270882427981788,0.038413700167637656,0.08801908425524416,0.09457655952763754,0.13735586329176414,0.7226120790380982,0,540
learning_full56_f050,test,0.01,0.1,9,0.0005658433510719346,0.005009019301672351,0.005006479360310031,0.021954376820398813,0.010441984263069857,0.008394072457750595,0.018012017554053846,0.011125210044067694,0.0007056510642609135,0.0006685300004932935,0.00012514115152429742,0.006598501318470201,0.005578814164321156,0.0007793817830146928,0.005011797303014545,0.005001155762812914,0.008394072457750595,0.020134790835751357,0.02363428698193945,0.018012017554053846,0.0018685349798871673,0,540
learning_full56_f050,test,0.01,0.5,9,0.005405732680448389,0.0237761610364333,0.01485524330379029,0.06851639913350181,0.0340792220363096,0.025593549032628428,0.10957811262085322,0.0449780745323345,0.00678220836647343,0.006374695064308972,0.0010152585622469864,0.029126823444913574,0.028663023080283036,0.005096740605447937,0.013776258916807033,0.01586099610638333,0.025593549032628428,0.06826615603132687,0.06876573159030006,0.10957811262085322,0.024288876288132814,0,540
learning_full56_f050,test,0.01,1.0,9,0.01993778308420967,0.05417947561900883,0.01718479150424861,0.08596065607475283,0.05036655162077724,0.027496450712028622,0.156727536622882,0.0649919679392,0.023524598597016114,0.024915381506291086,0.004285161395353443,0.06138053671916457,0.06992976401314009,0.012186244383982501,0.01540290480606838,0.01879852764511588,0.027496450712028622,0.0790957422927356,0.09231647922643627,0.156727536622882,0.08722739362304877,0,540
learning_full56_f050,test,0.01,2.0,9,0.07724444280439334,0.10220146295590976,0.019105306702945565,0.09468769650885846,0.08239968091698097,0.033510648169037115,0.18856078966892412,0.09335202599724338,0.0889149023815887,0.0982389971887089,0.018529743611636177,0.11947636878222043,0.1281560614161697,0.025235655646215924,0.0187715314800771,0.019433350053958992,0.033510648169037115,0.08811525657106103,0.1008326400513418,0.18856078966892412,0.32036612963514255,0,540
accepted_full56_f100,validation,0.01,0.1,9,0.0005252888992580162,0.007035893275961577,0.004447113255783684,0.026560137183700178,0.012648219538372564,0.0052191027131161345,0.035565525586085514,0.015523960561696378,0.0006077380684565294,0.0006650988828317897,0.0001268195539170785,0.007558602705919208,0.009542804937829698,0.0005601621414983113,0.004456534853661605,0.004437671655004823,0.0052191027131161345,0.02417743550816473,0.028746015144407076,0.035565525586085514,0.002128353128944538,0,540
accepted_full56_f100,validation,0.01,0.5,9,0.005594380921357287,0.02695683379887628,0.014077818522163511,0.07356997490061837,0.03673602635220858,0.025953439405758172,0.10452186362626335,0.04572905469027796,0.006449921780378356,0.007165780587773685,0.0009702532012964146,0.03377641518800238,0.03174553834098014,0.005602431424815238,0.013676870193107312,0.014467659465401884,0.025953439405758172,0.07128760438545144,0.07578363856887975,0.10452186362626335,0.024888774961300104,0,540
accepted_full56_f100,validation,0.01,1.0,9,0.02080062509285004,0.05861212771033891,0.017108494349434084,0.0852608449043383,0.05169948458386374,0.03469086679168433,0.12698973674524625,0.06059305277818363,0.027509742635965784,0.022627050901865703,0.005406351851962039,0.07832700359073155,0.06226206169808586,0.01715985797728268,0.015477045689118646,0.01859737117299566,0.03469086679168433,0.08084351761937685,0.08946032084968603,0.12698973674524625,0.11150420348643579,0,540
accepted_full56_f100,validation,0.01,2.0,9,0.09033441567190646,0.12923582242550485,0.02013033711178117,0.08933429751363026,0.09558153991609454,0.040669267286333265,0.13443188159490085,0.09621340335337569,0.12355409449047229,0.09194973226230946,0.027578115161906856,0.17664585531150032,0.13164688723930623,0.03963624951303736,0.019107043167610846,0.02110407178387536,0.040669267286333265,0.084664314718785,0.09377199602069977,0.13443188159490085,0.6098194574605738,0,540
accepted_full56_f100,test,0.01,0.1,9,0.000537022829348696,0.004800508868660456,0.005006190208312618,0.021581087867637606,0.010254805822915365,0.008391800025826237,0.017634874984057705,0.010927875472210925,0.0006829095778412472,0.0006191161287040989,0.00012454029627463988,0.006633549604881838,0.004953305133020997,0.0007716502400848174,0.004992344101838896,0.005019998124745132,0.008391800025826237,0.019879017490056085,0.023158397412848638,0.017634874984057705,0.001920729258300814,0,540
accepted_full56_f100,test,0.01,0.5,9,0.005185985423443193,0.024359981586167763,0.01475156127624855,0.06871276169397368,0.03426224423833217,0.025880012785477073,0.10731174036941957,0.044651053072092106,0.006661436376522058,0.005942822922784951,0.0009957186080747189,0.029686309572531943,0.029542283273426638,0.005118850612365345,0.013631885949509152,0.01579204881050608,0.025880012785477073,0.06760526235608226,0.06980269150248378,0.10731174036941957,0.02448977663704901,0,540
