family,replicate,scenario_seed,controller,plant_id,tmax_s,capture_radius_m,intercept_lead_s,controller_period_s,initial_yaw_rad,target_peak_speed_mps,target_peak_acceleration_mps2,captured,capture_time,capture_relative_speed,minimum_separation,final_separation,separation_rmse,qualified_dwell_s,qualified_time_reference,qualified_sample_convention,qualified_capture_speed_2p0_mps,qualified_capture_time_speed_2p0_mps_s,qualified_capture_speed_3p0_mps,qualified_capture_time_speed_3p0_mps_s,qualified_capture_speed_5p0_mps,qualified_capture_time_speed_5p0_mps_s,failure_aware_capture_time_s,mean_solve_ms,p95_solve_ms,failed_solves,allocator_altered_steps
straight,0,800000,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-2.2501847439770724,0.9607184636665547,0.0,1,3.25,0.9545891958900664,0.007588468661116831,0.02052765888887015,2.8772991424404344,0.2,dwell_end,elapsed_interval,1,3.45,1,3.45,1,3.45,3.25,2.9265006501373136,3.465509992383886,0,0
straight,0,800000,Linear MPC,nominal,20.0,0.75,0.0,0.01,-2.2501847439770724,0.9607184636665547,0.0,1,3.77,1.1711182380613117,0.002331480808787118,0.002356448124024923,3.0959311795679,0.2,dwell_end,elapsed_interval,1,3.97,1,3.97,1,3.97,3.77,4.182010400589206,4.867635013943072,0,0
straight,0,800000,PID,nominal,20.0,0.75,0.0,0.01,-2.2501847439770724,0.9607184636665547,0.0,1,2.06,8.529909455112238,0.026554934747215035,0.3621918180690017,3.6351339789627004,0.2,dwell_end,elapsed_interval,1,13.18,1,11.47,1,10.19,2.06,0.0,0.0,0,0
straight,1,800001,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-2.5252060665731184,0.6528349089817929,0.0,1,3.45,0.9494359011034142,0.005860432971549264,0.012901734028561165,3.43384936821753,0.2,dwell_end,elapsed_interval,1,3.65,1,3.65,1,3.65,3.45,2.868138949983404,3.061760001583025,0,0
straight,1,800001,Linear MPC,nominal,20.0,0.75,0.0,0.01,-2.5252060665731184,0.6528349089817929,0.0,1,3.95,1.172050411866274,0.001575847860419885,0.0015911129309136318,3.6380188991683187,0.2,dwell_end,elapsed_interval,1,4.15,1,4.15,1,4.15,3.95,4.188944450288545,5.0283050164580345,0,0
straight,1,800001,PID,nominal,20.0,0.75,0.0,0.01,-2.5252060665731184,0.6528349089817929,0.0,1,2.39,9.309931581653823,0.05215831634600321,0.2291182381020275,4.521134231766693,0.2,dwell_end,elapsed_interval,1,14.73,1,14.4,1,11.32,2.39,0.0,0.0,0,0
straight,2,800002,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,3.0031560727892486,0.7895196484136356,0.0,1,3.34,0.9319463418220836,0.00211217895767046,0.012086151310677227,3.173215535599884,0.2,dwell_end,elapsed_interval,1,3.54,1,3.54,1,3.54,3.34,2.8881894503574586,3.2893049879930913,0,0
straight,2,800002,Linear MPC,nominal,20.0,0.75,0.0,0.01,3.0031560727892486,0.7895196484136356,0.0,1,3.31,1.158154702177477,0.0016084111479681333,0.001916038810391411,3.2759827782190856,0.2,dwell_end,elapsed_interval,1,3.5100000000000002,1,3.5100000000000002,1,3.5100000000000002,3.31,4.2554939494875725,5.016654985956848,0,0
straight,2,800002,PID,nominal,20.0,0.75,0.0,0.01,3.0031560727892486,0.7895196484136356,0.0,1,2.32,9.745004954111335,0.06857889673789988,0.32270425974438477,4.732380149466155,0.2,dwell_end,elapsed_interval,1,15.530000000000001,1,15.19,1,11.83,2.32,0.0,0.0,0,0
straight,3,800003,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,2.615514208526999,1.2436892066331893,0.0,1,3.27,0.9679356316595725,0.009325306201698724,0.027420661398760215,2.787790396003512,0.2,dwell_end,elapsed_interval,1,3.47,1,3.47,1,3.47,3.27,2.9130002501478884,3.3511149900732558,0,0
straight,3,800003,Linear MPC,nominal,20.0,0.75,0.0,0.01,2.615514208526999,1.2436892066331893,0.0,1,3.77,1.1752758128458385,0.003036457418593703,0.0030503495828472092,2.994457818624376,0.2,dwell_end,elapsed_interval,1,3.97,1,3.97,1,3.97,3.77,4.141658299966366,4.550934987491928,0,0
straight,3,800003,PID,nominal,20.0,0.75,0.0,0.01,2.615514208526999,1.2436892066331893,0.0,1,2.0,8.37009692277403,0.017560889919314267,0.41554756281129895,3.4504882095795923,0.2,dwell_end,elapsed_interval,1,12.59,1,10.18,1,7.8100000000000005,2.0,0.0,0.0,0,0
straight,4,800004,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-3.0167286152231223,0.6077867822762075,0.0,1,3.49,0.9202226039499914,0.005478649633126308,0.010628043296758212,3.6483255575144424,0.2,dwell_end,elapsed_interval,1,3.69,1,3.69,1,3.69,3.49,2.9590238497476093,3.522889989835676,0,0
straight,4,800004,Linear MPC,nominal,20.0,0.75,0.0,0.01,-3.0167286152231223,0.6077867822762075,0.0,1,3.44,1.154601439199627,0.0011981408503375938,0.0014734393933522514,3.7440622472429177,0.2,dwell_end,elapsed_interval,1,3.64,1,3.64,1,3.64,3.44,4.1669599007145735,4.795220014057122,0,0
